phi,J,n_species,n_types,N,n_correct_pairs,pH,pKa_acid,pKa_base,beta,sum_correct,sum_incorrect,correct_fraction,selectivity
0.2,8.4789,2,1,2,1,5.0,6.0,8.0,1.0,0.15645744483287047,0.07188693520502155,0.31291488966574094,0.6851819379434994
0.2,9.5263,2,1,2,1,5.0,6.0,8.0,1.0,0.16661758445856295,0.06583125843879312,0.3332351689171259,0.716792488109466
0.2,10.5737,2,1,2,1,5.0,6.0,8.0,1.0,0.17665004082779806,0.06048282696777747,0.3533000816555961,0.7449411904387777
0.2,11.6211,2,1,2,1,5.0,6.0,8.0,1.0,0.18654287246555465,0.05575768039671931,0.3730857449311093,0.7698821577662133
0.2,12.6684,2,1,2,1,5.0,6.0,8.0,1.0,0.19628954573607083,0.05157176470801537,0.39257909147214165,0.7919329781012758
0.2,13.7158,2,1,2,1,5.0,6.0,8.0,1.0,0.20588992214596205,0.047844621168539325,0.4117798442919241,0.8114382829253278
0.2,14.7632,2,1,2,1,5.0,6.0,8.0,1.0,0.21534259641337483,0.04450496093821008,0.43068519282674966,0.828726652688931
0.2,15.8105,2,1,2,1,5.0,6.0,8.0,1.0,0.22464633896317987,0.041490798097006315,0.44929267792635974,0.8440999307525274
0.2,16.8579,2,1,2,1,5.0,6.0,8.0,1.0,0.2338018645761098,0.038749022321072885,0.4676037291522196,0.8578283022219941
0.2,17.9053,2,1,2,1,5.0,6.0,8.0,1.0,0.24280611912168654,0.036236589714474327,0.4856122382433731,0.8701396289277301
0.2,18.9526,2,1,2,1,5.0,6.0,8.0,1.0,0.25165494285985757,0.03391858710235419,0.5033098857197151,0.8812264319216024
0.2,20.0,2,1,2,1,5.0,6.0,8.0,1.0,0.26034567307541423,0.03176650594195908,0.5206913461508285,0.8912523741775564
0.25,0.1,2,1,2,1,5.0,6.0,8.0,1.0,0.07617240614816949,0.14908310218846368,0.15234481229633898,0.3381600153117378
0.25,1.1474,2,1,2,1,5.0,6.0,8.0,1.0,0.08622966023113618,0.13486006275885531,0.17245932046227236,0.3900211147988969
0.25,2.1947,2,1,2,1,5.0,6.0,8.0,1.0,0.09663605548324446,0.12143520385972087,0.1932721109664889,0.4431398056506952
0.25,3.2421,2,1,2,1,5.0,6.0,8.0,1.0,0.10724304522077328,0.10905131629896972,0.21448609044154657,0.49581988391770354
0.25,4.2895,2,1,2,1,5.0,6.0,8.0,1.0,0.11791316417214227,0.09787651176341217,0.23582632834428455,0.5464263462138776
0.25,5.3368,2,1,2,1,5.0,6.0,8.0,1.0,0.12853520186715547,0.08798820071397306,0.25707040373431095,0.5936319138481781
0.25,6.3842,2,1,2,1,5.0,6.0,8.0,1.0,0.13903340337112738,0.0793744915505519,0.27806680674225476,0.6365768207279499
0.25,7.4316,2,1,2,1,5.0,6.0,8.0,1.0,0.14936102943403162,0.071956357770402,0.29872205886806324,0.6748725498736542
0.25,8.4789,2,1,2,1,5.0,6.0,8.0,1.0,0.1594981849583812,0.06560770291731484,0.3189963699167624,0.7085473705887948
0.25,9.5263,2,1,2,1,5.0,6.0,8.0,1.0,0.16944689649463748,0.060177949047493615,0.33889379298927497,0.7379292780560498
0.25,10.5737,2,1,2,1,5.0,6.0,8.0,1.0,0.1792173910586636,0.05551539331057376,0.3584347821173272,0.7634953572431188
0.25,11.6211,2,1,2,1,5.0,6.0,8.0,1.0,0.18882542023136256,0.05147823590713721,0.3776508404627251,0.7857783908311893
0.25,12.6684,2,1,2,1,5.0,6.0,8.0,1.0,0.19828576215267288,0.047943016501920815,0.39657152430534576,0.8052907675378782
0.25,13.7158,2,1,2,1,5.0,6.0,8.0,1.0,0.20761307521163438,0.04480601946656556,0.41522615042326877,0.8224935418467927
0.25,14.7632,2,1,2,1,5.0,6.0,8.0,1.0,0.21681522060822633,0.041984858748011056,0.43363044121645267,0.8377710746749042
0.25,15.8105,2,1,2,1,5.0,6.0,8.0,1.0,0.2258957842627291,0.039415180233304925,0.4517915685254582,0.851437801267746
0.25,16.8579,2,1,2,1,5.0,6.0,8.0,1.0,0.2348569890852135,0.03704720785800486,0.469713978170427,0.8637490400130078
0.25,17.9053,2,1,2,1,5.0,6.0,8.0,1.0,0.24369516262766167,0.034844271809690575,0.48739032525532333,0.8749036312216378
0.25,18.9526,2,1,2,1,5.0,6.0,8.0,1.0,0.2524041652750011,0.03277931651436593,0.5048083305500022,0.8850588529577698
0.25,20.0,2,1,2,1,5.0,6.0,8.0,1.0,0.2609785905044207,0.03083209087072692,0.5219571810088414,0.8943421442785005
0.3,0.1,2,1,2,1,5.0,6.0,8.0,1.0,0.07625080157539545,0.1488627389453098,0.1525016031507909,0.3387215242540321
0.3,1.1474,2,1,2,1,5.0,6.0,8.0,1.0,0.08710193597178052,0.13251151708103517,0.17420387194356104,0.3966147554304546
0.3,2.1947,2,1,2,1,5.0,6.0,8.0,1.0,0.09819968463956506,0.11739371930577842,0.19639936927913013,0.4554855707202427
0.3,3.2421,2,1,2,1,5.0,6.0,8.0,1.0,0.10933523696743591,0.10385097601464516,0.21867047393487182,0.5128626070046347
0.3,4.2895,2,1,2,1,5.0,6.0,8.0,1.0,0.12033959425647821,0.09206887201701694,0.24067918851295642,0.5665480117987836
0.3,5.3368,2,1,2,1,5.0,6.0,8.0,1.0,0.13110249929242793,0.08206524524102649,0.26220499858485585,0.6150203426853454
0.3,6.3842,2,1,2,1,5.0,6.0,8.0,1.0,0.14157572132934848,0.07371683214250821,0.28315144265869696,0.6575969258864998
0.3,7.4316,2,1,2,1,5.0,6.0,8.0,1.0,0.15175505795823235,0.06681449177138063,0.3035101159164647,0.6943101550328676
0.3,8.4789,2,1,2,1,5.0,6.0,8.0,1.0,0.16166637811857879,0.061111319893893,0.32333275623715757,0.7256847501383531
0.3,9.5263,2,1,2,1,5.0,6.0,8.0,1.0,0.1713520066635419,0.05636198805173209,0.3427040133270838,0.7524878164725625
0.3,10.5737,2,1,2,1,5.0,6.0,8.0,1.0,0.18085295100567952,0.05235041744679243,0.36170590201135905,0.7755160322332029
0.3,11.6211,2,1,2,1,5.0,6.0,8.0,1.0,0.19020551105337305,0.048897892016152036,0.3804110221067461,0.7954947884956092
0.3,12.6684,2,1,2,1,5.0,6.0,8.0,1.0,0.19943625042953822,0.04586477947792677,0.39887250085907644,0.8130265515182339
0.3,13.7158,2,1,2,1,5.0,6.0,8.0,1.0,0.20856495957868812,0.043145163059093265,0.41712991915737624,0.8285918635017262
0.3,14.7632,2,1,2,1,5.0,6.0,8.0,1.0,0.21760026842743613,0.04066237956752279,0.43520053685487226,0.8425541599483742
0.3,15.8105,2,1,2,1,5.0,6.0,8.0,1.0,0.2265438505474211,0.03836176121166219,0.4530877010948422,0.8551870571675511
0.3,16.8579,2,1,2,1,5.0,6.0,8.0,1.0,0.2353945923986626,0.036204555571723133,0.4707891847973252,0.8666985671999545
0.3,17.9053,2,1,2,1,5.0,6.0,8.0,1.0,0.2441449957113448,0.034164748273141574,0.4882899914226896,0.8772419974090203
0.3,18.9526,2,1,2,1,5.0,6.0,8.0,1.0,0.2527850838239892,0.0322248780583387,0.5055701676479784,0.88693420452565
0.3,20.0,2,1,2,1,5.0,6.0,8.0,1.0,0.26130588579034764,0.030372929933207917,0.5226117715806953,0.8958685777098213
0.35,0.1,2,1,2,1,5.0,6.0,8.0,1.0,0.07632910798485291,0.14864258591495041,0.15265821596970583,0.33928316341364984
0.35,1.1474,2,1,2,1,5.0,6.0,8.0,1.0,0.08795795405534379,0.13020205967195853,0.17591590811068758,0.4031809154783511
0.35,2.1947,2,1,2,1,5.0,6.0,8.0,1.0,0.09969136252570408,0.11352425749642503,0.19938272505140817,0.46756125332354587
0.35,3.2421,2,1,2,1,5.0,6.0,8.0,1.0,0.11125619437221537,0.09905367682265942,0.22251238874443074,0.5290108055323945
0.35,4.2895,2,1,2,1,5.0,6.0,8.0,1.0,0.12246577770074325,0.08695325813645767,0.2449315554014865,0.5847881841837227
0.35,5.3368,2,1,2,1,5.0,6.0,8.0,1.0,0.13323626252071194,0.07711753223272842,0.2664725250414239,0.6333912952551203
0.35,6.3842,2,1,2,1,5.0,6.0,8.0,1.0,0.14357262993652636,0.06925399496184588,0.2871452598730527,0.6745990075493782
0.35,7.4316,2,1,2,1,5.0,6.0,8.0,1.0,0.1535301226926921,0.06299124698078767,0.3070602453853842,0.7090760737576114
0.35,8.4789,2,1,2,1,5.0,6.0,8.0,1.0,0.16318550750507696,0.05795850995726719,0.3263710150101539,0.7379150898027936
0.35,9.5263,2,1,2,1,5.0,6.0,8.0,1.0,0.1726170534968954,0.05383300355906079,0.3452341069937908,0.7622742769026579
0.35,10.5737,2,1,2,1,5.0,6.0,8.0,1.0,0.18188707705889168,0.050360165777191636,0.36377415411778335,0.7831614052239325
0.35,11.6211,2,1,2,1,5.0,6.0,8.0,1.0,0.19104171397030953,0.04734987687560655,0.38208342794061906,0.8013777385872145
0.35,12.6684,2,1,2,1,5.0,6.0,8.0,1.0,0.20010978161548487,0.044666801445128926,0.40021956323096974,0.8175201202393249
0.35,13.7158,2,1,2,1,5.0,6.0,8.0,1.0,0.20910891052356503,0.04221691931984329,0.41821782104713007,0.832023157563439
0.35,14.7632,2,1,2,1,5.0,6.0,8.0,1.0,0.21804352572218727,0.03993773273889311,0.43608705144437454,0.8451913407309816
0.35,15.8105,2,1,2,1,5.0,6.0,8.0,1.0,0.22691041670934417,0.03778834218501405,0.45382083341868834,0.8572401988477161
0.35,16.8579,2,1,2,1,5.0,6.0,8.0,1.0,0.23570369660534238,0.03574210010795979,0.47140739321068476,0.8683269347297684
0.35,17.9053,2,1,2,1,5.0,6.0,8.0,1.0,0.24441163754728049,0.03378294382639248,0.48882327509456097,0.8785636166614766
0.35,18.9526,2,1,2,1,5.0,6.0,8.0,1.0,0.25302069161267543,0.031901316783734035,0.5060413832253509,0.8880349153676086
0.35,20.0,2,1,2,1,5.0,6.0,8.0,1.0,0.2615189790896083,0.030091316522676256,0.5230379581792166,0.8968098281321124
0.4,0.1,2,1,2,1,5.0,6.0,8.0,1.0,0.07640732493884854,0.1484226444487145,0.15281464987769708,0.33984492880100364
0.4,1.1474,2,1,2,1,5.0,6.0,8.0,1.0,0.08879723422916565,0.12793324061955264,0.1775944684583313,0.40971272863748065
0.4,2.1947,2,1,2,1,5.0,6.0,8.0,1.0,0.10110965511902607,0.10983251411453984,0.20221931023805215,0.4793240511671796
0.4,3.2421,2,1,2,1,5.0,6.0,8.0,1.0,0.11300808423502934,0.09465994374810122,0.22601616847005868,0.5441766136682762
0.4,4.2895,2,1,2,1,5.0,6.0,8.0,1.0,0.12430985033744876,0.08249709279693705,0.24861970067489753,0.6010912808506145
0.4,5.3368,2,1,2,1,5.0,6.0,8.0,1.0,0.13498693199345396,0.07304314705312402,0.2699738639869079,0.6488817992672574
0.4,6.3842,2,1,2,1,5.0,6.0,8.0,1.0,0.14511943514935643,0.06578910945453977,0.29023887029871287,0.6880680696076213
0.4,7.4316,2,1,2,1,5.0,6.0,8.0,1.0,0.1548295612676568,0.06019188093285602,0.3096591225353136,0.7200656812787707
0.4,8.4789,2,1,2,1,5.0,6.0,8.0,1.0,0.1642402939142999,0.05577535650135173,0.3284805878285998,0.7464936862628537
0.4,9.5263,2,1,2,1,5.0,6.0,8.0,1.0,0.1734551206617717,0.05216871335974973,0.3469102413235434,0.7687801309378763
0.4,10.5737,2,1,2,1,5.0,6.0,8.0,1.0,0.18254618599137618,0.04910657822198549,0.36509237198275235,0.7880164374954011
0.4,11.6211,2,1,2,1,5.0,6.0,8.0,1.0,0.1915600835067903,0.046407782174196915,0.3831201670135806,0.8049829877601599
0.4,12.6684,2,1,2,1,5.0,6.0,8.0,1.0,0.20052143465425762,0.04395372036295072,0.40104286930851524,0.8202119133134094
0.4,13.7158,2,1,2,1,5.0,6.0,8.0,1.0,0.20944194004316888,0.041668341166320295,0.41888388008633776,0.8340635796924648
0.4,14.7632,2,1,2,1,5.0,6.0,8.0,1.0,0.21832003721344112,0.03950516112733774,0.43664007442688224,0.8467754068199226
0.4,15.8105,2,1,2,1,5.0,6.0,8.0,1.0,0.2271471828161729,0.037436390713369,0.4542943656323458,0.8585082580374555
0.4,16.8579,2,1,2,1,5.0,6.0,8.0,1.0,0.23591306891789451,0.035445558676504806,0.47182613783578903,0.8693774397713778
0.4,17.9053,2,1,2,1,5.0,6.0,8.0,1.0,0.24460248641364374,0.033524187547779485,0.4892049728272875,0.8794643208064602
0.4,18.9526,2,1,2,1,5.0,6.0,8.0,1.0,0.25319922407888945,0.03166824928308311,0.5063984481577789,0.8888316419233863
0.4,20.0,2,1,2,1,5.0,6.0,8.0,1.0,0.2616894141038612,0.02987579394853639,0.5233788282077224,0.8975330625073473
0.45,0.1,2,1,2,1,5.0,6.0,8.0,1.0,0.07648545200102295,0.14820291589508283,0.1529709040020459,0.34040681641511994
0.45,1.1474,2,1,2,1,5.0,6.0,8.0,1.0,0.08961933572669732,0.12570651109565162,0.17923867145339464,0.41620333577805857
0.45,2.1947,2,1,2,1,5.0,6.0,8.0,1.0,0.102453742066135,0.1063225630877529,0.20490748413227,0.49073453038943476
0.45,3.2421,2,1,2,1,5.0,6.0,8.0,1.0,0.11459557074799974,0.09066345930988456,0.22919114149599948,0.5582973412457543
0.45,4.2895,2,1,2,1,5.0,6.0,8.0,1.0,0.12589454421100857,0.078654394726679,0.25178908842201714,0.6154739538852345
0.45,5.3368,2,1,2,1,5.0,6.0,8.0,1.0,0.13640799406679807,0.06972812879620571,0.27281598813359614,0.6617374585892106
0.45,6.3842,2,1,2,1,5.0,6.0,8.0,1.0,0.1463055407258562,0.06313118071758181,0.2926110814517124,0.6985668020274459
0.45,7.4316,2,1,2,1,5.0,6.0,8.0,1.0,0.15577420640890685,0.05816190678635342,0.3115484128178137,0.7281342270004244
0.45,8.4789,2,1,2,1,5.0,6.0,8.0,1.0,0.16497208315971984,0.05427060000682736,0.3299441663194397,0.752463346904026
0.45,9.5263,2,1,2,1,5.0,6.0,8.0,1.0,0.17401544593202126,0.05106935350034252,0.3480308918640425,0.773110607072828
0.45,10.5737,2,1,2,1,5.0,6.0,8.0,1.0,0.1829764848336522,0.048303880777526065,0.3659529696673044,0.7911457781992013
0.45,11.6211,2,1,2,1,5.0,6.0,8.0,1.0,0.19189605179395575,0.04581416960406575,0.3837921035879115,0.807268827841629
0.45,12.6684,2,1,2,1,5.0,6.0,8.0,1.0,0.20079138451131776,0.04350335624262575,0.4015827690226355,0.8219226655949845
0.45,13.7158,2,1,2,1,5.0,6.0,8.0,1.0,0.20966714159750363,0.041313953330387725,0.41933428319500726,0.8353901781237414
0.45,14.7632,2,1,2,1,5.0,6.0,8.0,1.0,0.2185158703980306,0.03921386626896401,0.4370317407960612,0.8478488870702879
0.45,15.8105,2,1,2,1,5.0,6.0,8.0,1.0,0.22732441283987467,0.03718590151784016,0.45464882567974935,0.8594160624392436
0.45,16.8579,2,1,2,1,5.0,6.0,8.0,1.0,0.23607900104394666,0.03522111818773907,0.4721580020878933,0.8701765473325808
0.45,17.9053,2,1,2,1,5.0,6.0,8.0,1.0,0.2447619193413124,0.033316237870839205,0.4895238386826248,0.8801911009305833
0.45,18.9526,2,1,2,1,5.0,6.0,8.0,1.0,0.25335517947866015,0.031470759721574995,0.5067103589573203,0.88950880032225
0.45,20.0,2,1,2,1,5.0,6.0,8.0,1.0,0.26184367974628303,0.029685087047095944,0.5236873594925661,0.8981744156036027
0.5,0.1,2,1,2,1,5.0,6.0,8.0,1.0,0.0765634887363632,0.14798340159964785,0.1531269774727264,0.34096882224373526
